pattern,unique_membership_queries,membership_queries,equivalence_queries
(((bb)|((a|b)*))|ε),33,33,1
((b|a)(ab)),33,33,1
(b(a|((b|a)*))),80,80,2
((b|ε)((b|(aa))*)),90,90,2
(((((a|b)|ε)((b*)a))|(aa))|ε),33,33,1
(((b|(b|a))((a|((b|a)*))*))|ε),35,35,1
(((b((b|b)|ε))*)(a*)),103,103,2
((a|ε)((a|ε)((a|ε)((a|b)(b|ε))))),33,33,1
(((((((b*)|(b*))*)(b*))|(a*))b)|ε),167,167,3
(((a|ε)((a|(b*))*))|ε),77,77,2
((a|ε)((b|(b|a))(a|ε))),33,33,1
((((a|(a*)|(((a*)(b*))*))|ε)(b*))|ε),33,33,1
(((a|ε)((b*)(a(b((b|b)|ε)))))*),35,35,1
(((b*)((b|b)(b(((b|ε)(b*))|ε))))*),35,35,1
(b(((b((b|ε)a))|(a*))*)),203,203,3
(((b*)|((a|(b((b*)b)))*))|ε),254,254,4
((((a|ε)((b*)((b|b)*)))*)a),169,169,3
((a|a)((a*)((b|ε)a))),33,33,1
(((a|ε)(((a*)|(b*))|ε))|ε),167,167,3
(b|(((a|ε)b)*)),77,77,2
((a*)(a|ε)),76,76,2
(b(((b|a)*)b)),153,153,3
(((((b*)|(a*)|(a*))|ε)(a|ε))|ε),163,163,3
(((b|a)(((a*)b)*))|ε),87,87,2
(((a|ε)((aa)|(ba)))|ε),33,33,1
((((b*)|(b*))(((a|ε)(b*))|ε))|ε),76,76,2
(b(((b(b*))|ε)(b*))),33,33,1
(((b*)((b|b)(a(b|ε))))*),35,35,1
((a|ε)((((a*)|(a*))|ε)(ab))),33,33,1
(((ba)|((a|(((b*)|(b*))*))*))|ε),33,33,1
((a|ε)((b|a)(b*))),33,33,1
((b((b*)|(a*)))|ε),169,169,3
((((((a|ε)(a*))|ε)(aa))|ε)(b|ε)),33,33,1
(((b*)|(((ba)|((a*)b))*))|ε),76,76,2
(((ba)|((b|(a|(b|b)))*))|ε),33,33,1
(((((a*)a)|(b(a(b*))))b)|ε),33,33,1
((((b*)|((b|(b|a))*))(b|(ab)))|ε),35,35,1
(((b|(a|((b*)b)))b)|ε),33,33,1
(((b*)|(((ba)|((a*)a))*))|ε),198,198,3
((((b(b(b*)))*)|(b*))|ε),35,35,1
((((b*)|(a*))(((b*)(b|ε))*))|ε),76,76,2
((b|ε)(b(b|a))),33,33,1
(((b|(b|(b|(a|(a|(b|(a|b)))))))(a*))|ε),76,76,2
(((b*)|((((a|ε)a)|((a|ε)(b*)))*))|ε),146,146,3
(((((a|a)a)|ε)(b(b|ε)))*),35,35,1
(((b*)(b((((b|ε)b)|ε)a)))*),35,35,1
(b((b|b)((a|b)*))),162,162,3
((((((a|b)*)(b|ε))|(a*))(b|ε))|ε),110,110,2
((((((b|ε)(b|ε))*)|(b*))|ε)(a|ε)),76,76,2
(((a|(b*))|ε)((ab)|ε)),33,33,1
((((bb)|ε)(a*))|ε),33,33,1
(b((a|(a|(a|b)))(b(b|ε)))),33,33,1
(((bb)*)((a*)(b|ε))),133,133,2
(((a|ε)(((a|(b*))|ε)b))*),110,110,2
(b(((a*)((a*)((b|a)*)))*)),80,80,2
(((b*)|((((b|b)|ε)(a|ε))*)|(b*))|ε),35,35,1
((b|a)a),33,33,1
((a|ε)((b*)((a(b*))*))),77,77,2
((a|ε)(b((b|a)*))),145,145,3
((a|(b|(b|a)))|ε),77,77,2
(((((b*)|((ba)*))|ε)(((b|a)|ε)(b*)))*),33,33,1
((b|ε)(((b|b)*)(b|ε))),33,33,1
((((b|(a|a))((b|ε)(b|ε)))*)(b|ε)),87,87,2
((b(((b|a)*)|(b*)|(b*)|(a*)))|ε),80,80,2
((((a|ε)((a|ε)b))*)a),76,76,2
(((b*)((b|a)((a|(a|a))b)))*),133,133,2
(b((((b|ε)(a*))|ε)a)),33,33,1
((b|((b|a)((b|a)*)))*),33,33,1
((b(a|(a|(b|b))))|ε),33,33,1
((((a|(a((a|ε)(b*))))|ε)(b|ε))|ε),33,33,1
(((((b*)|(b*))|ε)(b|(a|a)))|ε),77,77,2
((a|ε)(((b*)|(((a|ε)(b*))*))((b*)b))),217,217,3
((b|ε)((b|(ab))*)),87,87,2
((((b|ε)(ba))*)(a*)),35,35,1
(((((a|b)b)|ε)(b(a|ε)))*),35,35,1
(b((b|(b|b))(a|(a|b)))),33,33,1
(((b*)|(b*)|(((b*)|(b*)|(b*))*))|ε),35,35,1
(b((a|a)((b*)a))),33,33,1
(((((b*)a)|(b*))a)|ε),80,80,2
((b|ε)(b(((a|ε)((a|b)*))|ε))),179,179,3
((((b*)|(a*))((((b(a|ε))*)a)*))|ε),114,114,2
((((b*)|(a*))(((a*)((a|b)*))|ε))|ε),33,33,1
(((b|b)(a|(b*)|(a*)))|ε),169,169,3
((((b|ε)(a*))*)(a*)),145,145,3
(((a|ε)((a*)(b(bb))))*),35,35,1
((a|ε)((a|ε)((a|ε)((b*)(a*))))),301,301,4
(((((b*)|(a*))|ε)a)|ε),163,163,3
(b|((b|b)*)),35,35,1
((b((b*)|(b*)))|ε),73,73,2
(((ba)|((a|(((a*)(b|a))*))*))|ε),33,33,1
(b(((a*)((a*)((b|(b*))*)))*)),80,80,2
((b|(((b*)(a|b))*))|ε),33,33,1
(a|(((b|b)*)(aa))),169,169,3
(b(b(((((a*)a)*)|(a*))*))),33,33,1
(b((a|(b|(b|b)))|ε)),33,33,1
(((b|a)((((b|(a|b))|ε)(a*))*))|ε),35,35,1
(b(((b|(a|b))|ε)b)),33,33,1
(b((a|(b|(b|(a|a))))|ε)),33,33,1
(((b*)(b(b(((b|(b|a))b)|ε))))*),35,35,1
((a(((a|(a|b))|ε)(b|ε)))*),155,155,3
(((b*)(b|(a*)))*),33,33,1
(((b|b)(b|((a|ε)b)))|ε),33,33,1
((((a|(a((a|ε)(b*))))|ε)(a|ε))|ε),33,33,1
((b|ε)(((a*)|(b*))|ε)),169,169,3
(((b*)(((b*)(b|ε))*))|ε),35,35,1
((a|ε)((a|ε)((a|ε)(a((b|b)*))))),33,33,1
(((b|(a|((b|ε)a)))(a|ε))|ε),33,33,1
((b*)(b(a(b*)))),146,146,3
(((b*)((b|a)(ab)))*),133,133,2
(((b|(b|(b|(a|(a|(b|a))))))a)|ε),33,33,1
((b|ε)((b|((b*)(a*)))*)),80,80,2
((((b*)|(a*))(((b|ε)b)|ε))|ε),33,33,1
((((b|ε)(((b*)|(b*))a))*)a),163,163,3
((((b(b*))|ε)a)|ε),33,33,1
(b(b(a|(a*)))),33,33,1
((a|(b((b|ε)b)))|ε),76,76,2
((b|ε)(((a(b|ε))*)a)),33,33,1
((b|ε)(a|(a|(a|a)))),33,33,1
(((ba)|((b|(a|(b|a)))*))|ε),33,33,1
(((((a*)b)|((a|ε)(b*)))b)|ε),33,33,1
((((a|(a*))|ε)((bb)*))|ε),157,157,3
((b(((b|a)(a|ε))|ε))|ε),33,33,1
(((((b*)|((ba)*))|ε)((a*)(a*)))*),33,33,1
((((b*)|(a*))(((b*)(a|ε))*))|ε),73,73,2
(((b*)((b|a)(a((b(a|b))|ε))))*),217,217,3
(((((((a(b*))|ε)a)*)|(a*))|ε)(a|ε)),176,176,3
(((((b*)|(b*))|ε)((aa)*))|ε),141,141,3
((b*)((b|a)(aa))),227,227,3
((((((a|ε)(a*))|ε)(aa))|ε)(a*)),33,33,1
((((b|(b|(b|b)))|ε)(a*))|ε),80,80,2
(b((((a*)a)|ε)((a|b)*))),146,146,3
(((a|ε)((b*)(((b|ε)(b|ε))*)))*),80,80,2
(b|((b*)b)),73,73,2
(b|((a|ε)b)),110,110,2
(b((b|a)(((a|ε)a)|ε))),33,33,1
((((b*)|((b|b)*))(b*))|ε),35,35,1
((((b*)|((b|(a|b))*))(b|ε))|ε),35,35,1
(((b|(b|(b|(a|(a|(b|(a|b)))))))b)|ε),33,33,1
(((a|(a|(a|b)))*)(b|ε)),35,35,1
(b((b(b|(b|b)))*)),87,87,2
(((a|(b|a))((b|(a|a))*))|ε),35,35,1
((b|ε)(((ba)*)b)),33,33,1
((b|ε)(((a*)|(a*))|ε)),80,80,2
(((((b|ε)(b|b))|ε)((a|ε)(a|ε)))*),35,35,1
(((a|ε)((b*)(b((a|ε)a))))*),35,35,1
((((b|a)(b*))*)(a*)),33,33,1
((a(((a|(a|b))|ε)(a|ε)))*),35,35,1
(((b*)|((a|(b((b|ε)a)))*))|ε),310,310,4
(b(((((a*)|(a*))b)|(b*)|(a*))|ε)),253,253,4
((b|ε)(((a*)((bb)*))*)),80,80,2
(b(a((((a|ε)b)|ε)b))),33,33,1
(((b*)|((a|(b|a))*)|(b*))|ε),33,33,1
((((b(a|b))|ε)a)|ε),33,33,1
((a|ε)(((a|b)|ε)((a*)(b|ε)))),33,33,1
(((((a|b)b)|ε)(b(b(b*))))*),35,35,1
((b|ε)(b(((a*)((b*)|(a*)))*))),162,162,3
((((a|(b|(a*)))*)a)|ε),35,35,1
((((b|(b|(a|(a|b))))((a*)(b|ε)))*)b),73,73,2
(((a*)|(((b*)b)*))(ba)),33,33,1
((b*)((a*)(a*))),76,76,2
(b(((b|(a|(b|b)))|ε)a)),33,33,1
((b|(b|(b|(b|(a|a)))))|ε),77,77,2
((((a|(a|(b|(b|(a*)))))*)(b|ε))|ε),35,35,1
((((((b|ε)a)|(b*))|ε)(a*))|ε),76,76,2
(b((b|ε)((b|ε)b))),33,33,1
(((ba)*)(a*)),101,101,2
((a|ε)(b((a|b)(b*)))),33,33,1
((((b*)|(b*))|ε)(aa)),147,147,3
(b(a(((a(a|ε))*)(a(a*))))),33,33,1
(((a|(b(((bb)|ε)b)))b)|ε),33,33,1
((a|a)((a*)((b|ε)b))),33,33,1
((((b(ab))*)(b|b))|ε),154,154,3
(((b|a)*)(((a|b)*)b)),35,35,1
(b((a|(b|(b|a)))|ε)),33,33,1
((((a|(a*))|ε)((b(a*))*))|ε),33,33,1
(b((a|(a|(b|(b|b))))(b(a(a|ε))))),33,33,1
(b((b|(b|a))(b|a))),33,33,1
((a|ε)((((b(b*))*)|(b*))(b|ε))),33,33,1
(((((a|b)|ε)(b|ε))*)(a|ε)),95,95,2
(((b*)|(((a(a|ε))|(a*))*))|ε),163,163,3
(b((a|a)(a(ba)))),33,33,1
((a|ε)((b|ε)((b|ε)(b(a|ε))))),33,33,1
(((b*)(((a*)b)*))|ε),35,35,1
((((b|(a|a))((b|ε)(b|ε)))*)a),95,95,2
(b((b*)((a|b)(b|b)))),33,33,1
(((b|a)((a(b|(b|a)))*))|ε),77,77,2
((b(((b*)((b|ε)a))*))|ε),167,167,3
((((b*)|(a*))b)|ε),167,167,3
(b(b((((b|ε)(b|ε))|(b*))*))),33,33,1
(((((a|b)b)|ε)((b*)(b|ε)))*),35,35,1
(b(((a*)((b|ε)(a*)))*)),278,278,4
(b(a(a|((a((a*)a))*)))),33,33,1
((((a|b)((a|ε)(a*)))*)((b*)|(a*))),204,204,3
(b(((a*)((b*)b))*)),170,170,3
(b((b|(b|(b(b|ε))))b)),33,33,1
(((a|b)|ε)(b(a*))),33,33,1
(b(a(((a|ε)b)|ε))),33,33,1
(((b|(b|(b|(a|(a|(a*))))))a)|ε),169,169,3
((b|ε)(a|(a|a))),33,33,1
((b|(a|(((a|ε)(ab))|(a*))))|ε),272,272,4
(((a(b*))*)a),169,169,3
(((((a*)b)|((b|b)*))b)|ε),73,73,2
(((a(b|ε))|(b((a*)(b*))))|ε),107,107,2
(((b|(a|b))(b|(a|a)))|ε),33,33,1
(b(((b|a)|ε)(b(a*)))),186,186,3
(((b|(a|b))(((b|b)|ε)((a|ε)(a*))))|ε),33,33,1
(b((a|(a|b))((b*)(ba)))),33,33,1
(b(((a|a)*)(a*))),80,80,2
((b|(((b*)b)*))|ε),35,35,1
((((b|(a|(a|b)))|ε)a)|ε),33,33,1
(((b*)|(b*)|(((b|ε)(a|b))*))|ε),121,121,2
((((a|(((b(a|ε))*)(a|ε)))*)(b*))|ε),101,101,2
(((((b*)|(a*))*)a)|ε),35,35,1
(b((a|(a|b))(a((a|ε)(a|ε))))),33,33,1
(((a|ε)(((b*)|(a*))|ε))|ε),167,167,3
(b((a((a|ε)((a(b*))*)))*)),171,171,3
((a|ε)(b((a|b)((((a|a)*)a)|ε)))),250,250,3
(b((((a|ε)(a*))*)(b*))),145,145,3
(b((a|(a|a))(b((b|ε)a)))),33,33,1
((b*)((b|b)((a|ε)(b|ε)))),33,33,1
(b(a((a*)((a|ε)b)))),33,33,1
(b(((b|ε)((a*)|(b*)))|ε)),33,33,1
(b((a|(b*)|(b*))*)),80,80,2
(((b|(b|(a|b)))|ε)(b|ε)),33,33,1
(((a*)|(a*))(a(a*))),76,76,2
((b((a|((a|ε)a))*))|ε),80,80,2
(((b*)(b(((a(ba))|ε)b)))*),35,35,1
(b(a((b(ba))*))),33,33,1
(b(((a|ε)(b|(a|b)))*)),187,187,3
((a|ε)(((a((b|ε)a))*)(b*))),76,76,2
((b|(b|a))((a*)((aa)*))),76,76,2
((b|(((b|(a|(a|a)))a)*))|ε),96,96,2
(((a|ε)((((b|ε)a)|ε)a))*),35,35,1
((a|ε)(((a(a|ε))|ε)(a(b*)))),33,33,1
((b|ε)(((ba)*)(a*))),219,219,3
((((b|ε)a)|(b*))(aa)),225,225,3
(b|(((a|ε)(b(a|ε)))*)),35,35,1
(b(b(a|(a|b)))),33,33,1
((((a|a)b)|((a*)(b*)))*),33,33,1
((a|ε)(((bb)|ε)(((a*)|(a*))a))),250,250,3
(b(a((b|ε)((b|ε)b)))),33,33,1
((b|(b|a))(((a|b)|ε)(b*))),33,33,1
((((b*)|(a*))(((b|b)a)*))|ε),198,198,3
((((a|(a*))|ε)((ba)*))|ε),80,80,2
((a|(bb))|ε),76,76,2
((b|(b|(b|(b|((b(b*))|(a*))))))|ε),163,163,3
((b|ε)(((a*)|(a*))*)),80,80,2
(((b*)|((b|((a*)((a|b)|ε)))*))|ε),33,33,1
(((((b*)|(((b*)|(a*))*))|ε)b)|ε),35,35,1
(((((b*)|((b(a|ε))*))|ε)((b*)b))*),96,96,2
(((((b*)(b|ε))|(b*)|(b*))a)|ε),76,76,2
((a|ε)(((bb)|ε)(aa))),33,33,1
((a|ε)((b|ε)((b|ε)(bb)))),33,33,1
(b(((a*)(a(a|b)))*)),163,163,3
((((b|a)|ε)(a(a|ε)))*),35,35,1
((a|ε)(((a((b|ε)a))*)(a*))),141,141,3
(((((a*)a)|((a|b)*))a)|ε),35,35,1
(((bb)|(((b*)((a*)(a|ε)))|((a*)b)))|ε),233,233,3
(((((b*)|(((b*)|(b*))*))|ε)b)|ε),73,73,2
(b((a|b)(a*))),33,33,1
(b((((a*)a)|ε)((a|(a|b))*))),146,146,3
((((a|(a(a|a)))|ε)a)|ε),33,33,1
(b((a|b)(b*))),33,33,1
((((((b|ε)b)*)a)|(b(a*)))|ε),108,108,2
(((b|(b|(a|b)))|ε)((a|(a|b))*)),35,35,1
((a|ε)((((b|ε)(a|ε))|ε)(b(a*)))),33,33,1
(b(((((a*)|(a*))b)|(b*)|(b*))|ε)),96,96,2
(b(((b(a*))|ε)(b|ε))),33,33,1
(b((a|(a|(a|a)))((a*)(a|ε)))),33,33,1
(b(a((a|b)(b*)))),33,33,1
((((a|(((a*)|(b*))*))|ε)a)|ε),35,35,1
(((((b*)|(a*)|(b*))|ε)(a|ε))|ε),163,163,3
((((a|b)((a|a)(a|ε)))*)a),76,76,2
(((b*)|((((a|ε)(a|ε))|(aa))*))|ε),96,96,2
(b(a(a|(a(a|a))))),33,33,1
(b((b*)(b((a|ε)a)))),127,127,2
((((((a|b)b)*)(b|ε))|(b*))|ε),35,35,1
(((a|b)|ε)(b(b*))),33,33,1
(((a*)|((b|a)*)|((aa)*)|(a*))|ε),33,33,1
((a|((b|ε)b))|ε),76,76,2
(((((b*)a)|(a*))(a|ε))|ε),163,163,3
((a|ε)(((a|a)*)b)),33,33,1
((b|(b|a))(((a|(a|b))*)(a|ε))),76,76,2
(b(b((b(b|ε))|(a*)))),33,33,1
(((((b|ε)a)*)((a(a|ε))|ε))|ε),33,33,1
(((((b*)|((bb)*))|ε)((a*)(b|ε)))*),35,35,1
(b((b|(b|b))(((a|b)(b*))|ε))),198,198,3
(((b*)((b|b)(b((((aa)*)a)|ε))))*),35,35,1
(b(((b|(a|a))|ε)a)),33,33,1
((((b*)|(b*))|ε)(b(b|ε))),33,33,1
(b((a((b*)((b|b)|ε)))*)),96,96,2
(((a|(b|(a|a)))*)(a*)),33,33,1
(((b*)((b|a)(a(b|(b|a)))))*),149,149,2
(((a|(b|(b|b)))b)|ε),33,33,1
((a|ε)((b|a)(b|ε))),33,33,1
((a|ε)((((b|(b|a))*)|(b*))(aa))),211,211,3
((b|(b(b|a)))*),77,77,2
(b((a|(a|(a|a)))(((b|b)*)a))),33,33,1
(((((a*)|(b*))|ε)((((a|ε)a)|ε)a))*),35,35,1
((b(a|((a*)b)))|ε),33,33,1
((a*)((aa)*)),35,35,1
(((b*)|(b*)|(((b|ε)((b|(a|b))*))*))|ε),77,77,2
(((((b*)|((b(a|ε))*))|ε)(((b|b)*)(a|ε)))*),35,35,1
(((((a|b)b)|ε)(a((b|ε)(b*))))*),139,139,2
((a|ε)(((a(a|ε))|ε)((a|ε)a))),33,33,1
((a|((a*)(b*)))|ε),76,76,2
((b*)((b|a)(ba))),33,33,1
(b((a|ε)(aa))),33,33,1
(((a|ε)((b*)(a(b((b|(b|b))|ε)))))*),35,35,1
(b(a(a|((a((a*)b))*)))),33,33,1
(b((a|(a|(a|b)))(b(a*)))),186,186,3
(((a|ε)(((a|((aa)|(b*)))|ε)(b|ε)))*),204,204,3
(((b*)(b(a((a|b)|ε))))*),114,114,2
((b|(b|a))(((a|a)*)(a*))),76,76,2
(((((b|ε)(b*))*)(a|ε))|ε),76,76,2
(((b|(a|(ba)))(a*))|ε),76,76,2
(((a|ε)(aa))*),35,35,1
((((b|ε)(b*))|(a*))*),33,33,1
((((a(b*))|ε)((b|ε)b))*),35,35,1
(b((b*)((b*)((a*)b)))),33,33,1
(((b*)((b|a)((b*)(a|b))))*),96,96,2
(((b*)|((a|b)*)|((b(ba))*))|ε),33,33,1
((((a|ε)b)|((b|a)*))*),33,33,1
((((b*)|((b|b)*))((b|b)|ε))|ε),73,73,2
(b|((bb)*)|(b*)),35,35,1
(((b|a)((a(b|(b|b)))*))|ε),96,96,2
(b(b(((a*)|(b*))*))),162,162,3
((((b|(a|(a|b)))(a(b*)))*)a),199,199,3
((((a|(a|b))*)(b|ε))|ε),35,35,1
(((((a|b)*)(((a*)a)|ε))|(a*)|(a*)|(b*))|ε),73,73,2
(((b|a)((b|(b|(b|b)))|ε))|ε),33,33,1
((b|ε)(((a*)(a|(b|a)))*)),80,80,2
(((((a*)|(b*))|ε)((((b|ε)a)|ε)b))*),152,152,2
(b|(((b|ε)(b*))*)),35,35,1
(((b|(b|(a|b)))a)|ε),33,33,1
((((b|ε)(b*))|(b*))*),35,35,1
((((b|ε)(b(a*)))*)(((b|ε)(a*))*)),77,77,2
((a|ε)((a|ε)((a|ε)(a((a|a)*))))),33,33,1
((((a|(a((a|ε)a)))|ε)b)|ε),33,33,1
((b*)(b(a(a*)))),147,147,3
(b((b(b|(a|a)))*)),87,87,2
((a|ε)(b((a|b)(a|(b|b))))),33,33,1
(b(((a|a)|ε)((a|b)(b|ε)))),33,33,1
(((bb)|((b|b)*))|ε),35,35,1
(b((((a*)a)|ε)(a*))),33,33,1
((((b|(a|(b|a)))|ε)(b|ε))|ε),33,33,1
(((b*)(((b|ε)b)*))|ε),35,35,1
((((a|ε)(b(a|b)))*)(b|ε)),87,87,2
(b((((a*)a)|ε)((ab)*))),33,33,1
(((b*)((b|b)((b|ε)(a|a))))*),35,35,1
(b(b((b(aa))*))),33,33,1
(((b*)(a((b|b)a)))*),35,35,1
(b((a|(a|(a|a)))((a*)b))),33,33,1
((((a|(a(a|a)))*)a)|ε),76,76,2
(((b*)((b|a)(a((b(a|a))|ε))))*),35,35,1
((((a|(b|(b|(b*))))*)(b*))|ε),33,33,1
(b(((b|(b|a))*)(ab))),212,212,3
(((a|b)|ε)b),33,33,1
((b|ε)(((b((b|a)*))|ε)b)),197,197,3
(((((a*)a)|((a|b)*))b)|ε),35,35,1
((b|ε)(a(((a(b*))*)|(b*)))),126,126,2
(((b|(b|(b|b)))((b|b)*))|ε),73,73,2
(((b(b|b))*)(b*)),35,35,1
((b(((((a*)(a|a))*)|(a*))*))|ε),80,80,2
(((a|(b|a))((b|(a|b))*))|ε),35,35,1
(((((a*)b)|((b|b)*))a)|ε),204,204,3
(((a|(b(((bb)|ε)b)))a)|ε),33,33,1
(((b*)(b(b(((b|(b|a))a)|ε))))*),143,143,2
(b(((a*)((a*)(((a|ε)(b|ε))*)))*)),84,84,2
((b|(a*))*),33,33,1
(((ba)|((a|a)*)|(a*))|ε),107,107,2
((a|ε)(b(a(b|ε)))),33,33,1
((a|(b(ab)))|ε),76,76,2
((((a|(b*))|ε)(b|ε))|ε),173,173,3
((((a(b*))*)b)|ε),173,173,3
(b(((b|(a|a))|ε)(a*))),33,33,1
((a|ε)((b|ε)((a|ε)((b*)(a*))))),198,198,3
(((((a*)((aa)*))|(b*))a)|ε),163,163,3
(((b(a(bb)))|(ba))|ε),33,33,1
(((b*)|(((ab)|((b|ε)((b|ε)(a*))))*))|ε),372,372,4
(b((a|a)((b|ε)((b|ε)(a*))))),256,256,3
((((b|a)|ε)((ab)*))|ε),96,96,2
(((((a|b)*)(((a*)b)|ε))|(b(a|ε)))|ε),101,101,2
((((b*)|((b|b)*))(b|ε))|ε),73,73,2
(b((a((a*)a))*)),87,87,2
(b(a(((a|ε)(a|b))|ε))),33,33,1
(((((((b*)|(b*))*)(b*))|(a*))a)|ε),163,163,3
(b(((a*)(((b*)|(b*))(a*)))*)),80,80,2
(b(((b|a)|ε)(b(a|ε)))),33,33,1
(((a|(b|b))(a|ε))|ε),33,33,1
((b|((b*)b))*),35,35,1
(((b|(a|(a|(b|a))))(b(b|ε)))|ε),33,33,1
(((((b*)|(b*))|ε)((a|ε)(((a*)|(a*))b)))*),81,81,2
(((a|ε)((b*)(a|ε)))*),76,76,2
((b|(b(a*)))*),77,77,2
((a|ε)((a|ε)((a|ε)((b*)b)))),240,240,3
(b((a|(a|b))((b*)((b*)(a|ε))))),33,33,1
(((((a|a)*)|(b*))b)|ε),167,167,3
((((a|b)((a|(a|b))|ε))|(b*))*),76,76,2
(((b*)|(((a*)(b*))*)|(b*))|ε),33,33,1
(((a*)|(((b*)b)*)|(b*))|ε),163,163,3
(((b*)|((a|(b((b|ε)(b|b))))*))|ε),219,219,3
(((((b*)a)|((a|(a|a))*))(a|ε))|ε),163,163,3
(((a|(b|(a*)))a)|ε),169,169,3
((((b*)|((b|(a|a))*))(a|ε))|ε),35,35,1
((((a|(a|b))*)((b(b|ε))|ε))|ε),73,73,2
((b|(((b|b)((a|a)|ε))*))|ε),35,35,1
(((((b|a)a)*)b)|ε),110,110,2
(((b*)|((a|(b|(a|b)))*))|ε),33,33,1
(b((b|a)((b|b)|ε))),33,33,1
((((a(a|a))|ε)a)|ε),33,33,1
((((a|(b|(b|b)))a)|(b*))*),82,82,2
(((((b*)|(a*))*)(ab))|ε),83,83,2
((((b|a)|ε)(((b|ε)(a|ε))*))|ε),77,77,2
(((b|ε)((a*)(a((b|ε)(a*)))))*),133,133,2
((a|(b((b|ε)(b|ε))))|ε),76,76,2
((b|ε)((a*)((b|a)|ε))),33,33,1
(((b*)|(((ab)|((b|ε)(b(aa))))*))|ε),102,102,2
(((a|ε)(((b|b)|ε)(b|ε)))*),35,35,1
(((ba)|((b|(a|(b|(b|(b|a)))))*))|ε),33,33,1
((b*)((b|b)(bb))),33,33,1
(b((b*)((b*)(aa)))),176,176,3
((((b|(((a*)b)*))|ε)(a|ε))|ε),94,94,2
((a|ε)(((b*)|(((a|ε)(a*))*))(aa))),33,33,1
((b|ε)(((a(b|ε))*)(b*))),90,90,2
(((b*)((b|b)(b(((a|ε)a)|ε))))*),135,135,2
(b((a|(a|b))(a((a|ε)b)))),33,33,1
(b(a((b|ε)(a(a|a))))),33,33,1
((b|((a|(b*))*))|ε),33,33,1
((b((a|((a|a)b))*))|ε),84,84,2
((((b|(b|b))*)(b|ε))|ε),73,73,2
((b*)((b|b)(a(a|a)))),176,176,3
((((a*)(b(b*)))|((a(a|ε))*))|ε),96,96,2
(((((a|b)*)(((a*)b)|ε))|(ba))|ε),101,101,2
(b((b*)((a|a)(b|ε)))),33,33,1
((b*)((b|b)((a|ε)((b|b)*)))),146,146,3
(((b*)|(((a*)(a*))*)|(b*)|(b*))|ε),163,163,3
((b(((((a*)a)*)|(b*))*))|ε),80,80,2
(((b*)|(((ab)|((b|ε)(b(a(a|b)))))*))|ε),102,102,2
((((b|(b|(b|a)))|ε)(a*))|ε),76,76,2
(((a*)|((a(b(a|ε)))*))((b*)a)),255,255,3
(((b|(b|a))*)(a(a(bb)))),130,130,2
(((((a*)b)|((a|ε)(a*)))b)|ε),33,33,1
(b((a((a|ε)((b(b*))*)))*)),87,87,2
(((((b*)|((ab)*))|ε)((b|ε)(b*)))*),160,160,3
(b((a|(a|(a|b)))(b(b|a)))),33,33,1
((((b|ε)(b*))*)(b*)),35,35,1
(((bb)*)((a*)a)),163,163,3
(b(b(a|(b|(b|(a|a)))))),33,33,1
(((((b*)|(b*))*)|((a(b*))*))|ε),146,146,3
((b|ε)(((b*)b)*)),73,73,2
(((b|(b|(b|((a|ε)(a*)))))|ε)(b|b)),33,33,1
((((b|(b|a))*)((b|ε)(a|ε)))*),76,76,2
(((b|ε)((b(b|ε))|ε))|ε),33,33,1
((((b|a)|ε)((a(b|ε))*))|ε),96,96,2
((((a|(((a*)|(b*))*))|ε)b)|ε),35,35,1
(((((a|a)(b|ε))|ε)(aa))*),35,35,1
((b|ε)(((b*)((b*)(ab)))*)),176,176,3
((((b*)|(b*))(((b|ε)((b|ε)b))|ε))|ε),33,33,1
((b|ε)(b(((b*)(a|ε))*))),199,199,3
(((b*)((((b|b)b)|ε)(a((b|a)*))))*),112,112,2
(((b*)((b|a)(a(b|(b|b)))))*),133,133,2
(b((a|(a|b))((a*)a))),33,33,1
(b(((b|(b(a|ε)))|ε)b)),33,33,1
((b|(b|a))(((a|(a|b))*)a)),76,76,2
((((a|ε)(ab))*)a),76,76,2
(((b*)|((((b|ε)a)|(b*))*))|ε),77,77,2
(((b|(a|a))(aa))|ε),33,33,1
(((b*)(b((((b|ε)a)|ε)((ab)|ε))))*),35,35,1
(b((b|ε)(a(ab)))),33,33,1
((((bb)|ε)(b|ε))|ε),33,33,1
((b(((b*)(b|ε))|ε))|ε),33,33,1
(b(a(a|((a((b*)((b|b)*)))*)))),203,203,3
(((b|b)(a|(a|(a|a))))|ε),33,33,1
(((b|(a|(b|(b|(b*)))))(a*))|ε),76,76,2
(a((a*)(b(a|ε)))),33,33,1
(b((b|(b|b))(a|a))),33,33,1
(((b|b)*)(b(ab))),33,33,1
(((b*)|((b|(a|(b|(b|b))))*))|ε),33,33,1
((b|ε)(((a|ε)(b*))*)),84,84,2
((a|ε)((b|(a|b))a)),33,33,1
((a|ε)(((((a*)(a|a))|(a*))|ε)(aa))),33,33,1
(((bb)|(((b|ε)(a*))|(b*)))|ε),35,35,1
(((((b|a)a)*)(b*))|ε),96,96,2
((a|ε)(((b*)|(a*))(a((a|(b|(b|b)))*)))),145,145,3
((((b*)|(b*))|ε)((b|ε)(b*))),73,73,2
((b*)((b|b)(a(a|b)))),183,183,3
(((b((a|a)|ε))*)b),87,87,2
(((b*)(b(b((b|a)|ε))))*),98,98,2
(b(((a*)(a(a|a)))*)),87,87,2
